step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2,lr,method_base
0,sgd_replacement lr=0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,sgd_replacement
1,sgd_replacement lr=0.01,6.0547115936060434e-06,2.771074095311018e-05,-1.823482379378629e-05,3.034424698099838e-05,1.1174162e-08,0.0,-3.978447784902528e-05,-8.136715041473508e-05,0.01,sgd_replacement
2,sgd_replacement lr=0.01,1.637281579860428e-05,2.815208908196448e-05,-8.30357828058939e-06,4.1049209877797954e-05,1.4523842e-08,0.0,-6.682177627226338e-05,-0.0001441989152226597,0.01,sgd_replacement
3,sgd_replacement lr=0.01,2.8661657779593952e-05,3.2147802421165215e-05,4.828665355385142e-07,5.684044902364939e-05,1.9067635e-08,0.0,-0.0001764753833413124,-0.00032064999686554074,0.01,sgd_replacement
4,sgd_replacement lr=0.01,3.388264703971799e-05,3.115521796149875e-05,6.573894435150409e-06,6.119139964428558e-05,2.2582205e-08,0.0,-0.00027247038087807596,-0.00043010301305912435,0.01,sgd_replacement
5,sgd_replacement lr=0.01,4.2664531792979685e-05,2.7634679157079933e-05,1.8441667509381775e-05,6.68873960765776e-05,2.7470712e-08,0.0,-0.00036359913065098226,-0.0005258199525997043,0.01,sgd_replacement
6,sgd_replacement lr=0.01,3.640128588813241e-05,3.262037462133759e-05,7.808266847043042e-06,6.499430492922177e-05,3.7347426e-08,0.0,-0.0003591535787563771,-0.0005876485956832767,0.01,sgd_replacement
7,sgd_replacement lr=0.01,4.996238972125866e-05,6.566976662121907e-05,-7.599698673525603e-06,0.00010752447811604293,5.784663e-08,0.0,-0.00046427184133790433,-0.0006844978779554367,0.01,sgd_replacement
8,sgd_replacement lr=0.01,5.073976523526369e-05,5.753286809330121e-05,3.099828683808062e-07,0.00010116954760214656,6.612879e-08,0.0,-0.0005247485241852701,-0.0007418732857331634,0.01,sgd_replacement
9,sgd_replacement lr=0.01,4.9023762039723805e-05,9.114593624237883e-05,-3.086917361011794e-05,0.00012891669768956554,6.2111305e-08,0.0,-0.0006343367276713252,-0.0008662721375003457,0.01,sgd_replacement
10,sgd_replacement lr=0.01,4.017715182271786e-05,0.00010981523409697593,-5.608014491239136e-05,0.0001364344485578271,7.548959e-08,0.0,-0.0007496795151382685,-0.000996755319647491,0.01,sgd_replacement
11,sgd_replacement lr=0.01,5.641674338221492e-05,9.352894133735479e-05,-2.5564988329799912e-05,0.00013839847509422974,7.609772e-08,0.0,-0.0007680188864469528,-0.0010452123824506998,0.01,sgd_replacement
12,sgd_replacement lr=0.01,3.9233936695382e-05,0.00010198300653341425,-5.015810988675762e-05,0.00012862598327752163,6.7319206e-08,0.0,-0.0008495024521835148,-0.0011331539135426283,0.01,sgd_replacement
13,sgd_replacement lr=0.01,6.234566294551768e-05,0.00011923792828087584,-4.217098940233725e-05,0.00016686231529337262,1.05499986e-07,0.0,-0.0008491802727803588,-0.0011735352454707026,0.01,sgd_replacement
14,sgd_replacement lr=0.01,7.497575024899561e-05,0.0001353760926322949,-4.368662684741934e-05,0.00019363812734541058,1.12334504e-07,0.0,-0.0008885565330274403,-0.0012512688990682364,0.01,sgd_replacement
15,sgd_replacement lr=0.01,4.5179743028711525e-05,0.0001435634145337236,-8.065913813120827e-05,0.00017101862418863133,1.3285795e-07,0.0,-0.0009924621554091573,-0.001354676904156804,0.01,sgd_replacement
16,sgd_replacement lr=0.01,6.305893548415042e-05,0.00016202673145179712,-7.896375650959162e-05,0.00020508162747789248,1.6987077e-07,0.0,-0.0010475697927176952,-0.0014432200696319342,0.01,sgd_replacement
17,sgd_replacement lr=0.01,6.584769053006312e-05,0.0001286551084418923,-4.692348417637873e-05,0.00017861886523650496,1.5015685e-07,0.0,-0.0010864929063245654,-0.0014741190243512392,0.01,sgd_replacement
18,sgd_replacement lr=0.01,5.911663993174443e-05,0.00014588112116002924,-6.875380065895725e-05,0.0001869870805224461,1.7188977e-07,0.0,-0.0012150874827057123,-0.0016380023444071412,0.01,sgd_replacement
19,sgd_replacement lr=0.01,3.8758190930821e-05,0.0001060528182094758,-5.420120287213063e-05,0.00013171758473377263,1.5884005e-07,0.0,-0.0012731538154184818,-0.001704404829069972,0.01,sgd_replacement
20,sgd_replacement lr=0.01,4.925705870846286e-05,0.00011464068928820488,-5.12299359919935e-05,0.0001497440534089192,1.5223053e-07,0.0,-0.0013468204997479916,-0.001779814250767231,0.01,sgd_replacement
21,sgd_replacement lr=0.01,5.919891918892972e-05,0.00011602774217512388,-4.250388097259363e-05,0.0001609017193504531,1.7269417e-07,0.0,-0.001360050169751048,-0.0018480333965271711,0.01,sgd_replacement
22,sgd_replacement lr=0.01,5.355996754587977e-05,0.00013719690596498269,-6.669842280593652e-05,0.00017381835789769605,1.8041028e-07,0.0,-0.0013892363058403134,-0.0018625246593728662,0.01,sgd_replacement
23,sgd_replacement lr=0.01,6.268194956646767e-05,0.00012388988628842649,-4.591232376006348e-05,0.0001712762228929988,1.728326e-07,0.0,-0.0014332699356600642,-0.0018913962412625551,0.01,sgd_replacement
24,sgd_replacement lr=0.01,8.724334766156972e-05,0.0001095003817333097,-8.737968808630116e-06,0.00018322466413176955,1.3453958e-07,0.0,-0.0014122786233201623,-0.0018914773827418685,0.01,sgd_replacement
25,sgd_replacement lr=0.01,0.00010277399414917454,0.00010479214642391165,1.0919627887679196e-05,0.00019462836041066986,1.7505134e-07,0.0,-0.0014307538513094187,-0.0019365164916962385,0.01,sgd_replacement
26,sgd_replacement lr=0.01,0.0001235272386111319,9.845981558415375e-05,3.7223405057413615e-05,0.00020983107216485016,1.7530594e-07,0.0,-0.0014454700285568833,-0.0019536339677870274,0.01,sgd_replacement
27,sgd_replacement lr=0.01,0.00012474636605475098,9.736617263551653e-05,3.940115281172902e-05,0.00021009157929777292,1.3872895e-07,0.0,-0.0014736338052898645,-0.0019261291017755866,0.01,sgd_replacement
28,sgd_replacement lr=0.01,0.00012588406243594364,0.00012237005165552261,1.8621982902475228e-05,0.00023314614196941205,1.6343024e-07,0.0,-0.0015054915565997362,-0.0019425537902861834,0.01,sgd_replacement
29,sgd_replacement lr=0.01,0.00013293802767293527,0.0001448654165792262,5.957891401425124e-06,0.0002599181639444454,2.0157978e-07,0.0,-0.0015712749445810914,-0.001988404430449009,0.01,sgd_replacement
30,sgd_replacement lr=0.01,0.00015800934052094816,0.00013079188929636298,4.336519481500861e-05,0.0002726534862268877,1.7278728e-07,0.0,-0.0015597031451761723,-0.002032688818871975,0.01,sgd_replacement
31,sgd_replacement lr=0.01,0.00017403756210114806,0.00014837081421645662,4.398480932687229e-05,0.00030409031487542383,2.1181825e-07,0.0,-0.0015786804724484682,-0.002113108057528734,0.01,sgd_replacement
32,sgd_replacement lr=0.01,0.00019824179289571476,0.00015621323581474633,6.13148545030596e-05,0.0003351687312883699,2.1539722e-07,0.0,-0.0015630308771505952,-0.002110516419634223,0.01,sgd_replacement
33,sgd_replacement lr=0.01,0.0002069676755127148,0.00017491714748427964,5.3646035688274216e-05,0.00036028931533715533,2.0338535e-07,0.0,-0.0015382958808913827,-0.002118239412084222,0.01,sgd_replacement
34,sgd_replacement lr=0.01,0.0002297114326211158,0.00018474499066454593,6.777530843074823e-05,0.0003916475568114834,2.1195103e-07,0.0,-0.0015081180026754737,-0.0021335987839847803,0.01,sgd_replacement
35,sgd_replacement lr=0.01,0.0002434596186503768,0.00016702855044215125,9.705263900539092e-05,0.0003898665982953627,1.7933257e-07,0.0,-0.0015953255351632833,-0.0022868062369525433,0.01,sgd_replacement
36,sgd_replacement lr=0.01,0.00024376785440836102,0.00020557107084319103,6.35768660721434e-05,0.00042395884274457865,1.7683264e-07,0.0,-0.0016286850441247225,-0.0023502411786466837,0.01,sgd_replacement
37,sgd_replacement lr=0.01,0.00025226649158867077,0.00018945045289779365,8.620584789801605e-05,0.0004183271352793255,1.64715e-07,0.0,-0.0016245793085545301,-0.0024376721121370792,0.01,sgd_replacement
38,sgd_replacement lr=0.01,0.0002671748989087064,0.00020801314351898264,8.484333949293531e-05,0.00044950645832447745,1.9947232e-07,0.0,-0.001675103441812098,-0.0025293875951319933,0.01,sgd_replacement
39,sgd_replacement lr=0.01,0.00027143216284457593,0.0002185889470041198,7.983050294910207e-05,0.00046303382274004976,2.0366126e-07,0.0,-0.0016818735748529434,-0.002549316268414259,0.01,sgd_replacement
40,sgd_replacement lr=0.01,0.0003032637148862705,0.0002283291218428579,0.00010312441531435326,0.0005034030144581877,2.2239703e-07,0.0,-0.0017190907383337617,-0.002654004143550992,0.01,sgd_replacement
41,sgd_replacement lr=0.01,0.00032977056689560414,0.00022524298411946722,0.00013233638630875873,0.0005272047474824495,2.2111676e-07,0.0,-0.0017248094081878662,-0.0026954314671456814,0.01,sgd_replacement
42,sgd_replacement lr=0.01,0.00034280494728591295,0.00021036006372913776,0.00015841622160409332,0.0005271936729677326,2.1114873e-07,0.0,-0.0017598351696506143,-0.0027754176408052444,0.01,sgd_replacement
43,sgd_replacement lr=0.01,0.0003665609983727336,0.0002357216366780651,0.0001599418738479064,0.0005731801228975608,2.4851548e-07,0.0,-0.0018125467468053102,-0.00293429521843791,0.01,sgd_replacement
44,sgd_replacement lr=0.01,0.00036632788833230735,0.00023424031213464648,0.0001610072020188027,0.000571648574645812,2.593331e-07,0.0,-0.001829958171583712,-0.00301098613999784,0.01,sgd_replacement
45,sgd_replacement lr=0.01,0.0003889218991389498,0.00023963231552181444,0.0001788749134708674,0.0005989688848070322,2.2266924e-07,0.0,-0.0018198346951976418,-0.0030425437726080418,0.01,sgd_replacement
46,sgd_replacement lr=0.01,0.0004056977690197527,0.0002563659688870592,0.00018098308946852098,0.0006304124485709845,2.3886057e-07,0.0,-0.001852761721238494,-0.0030539315193891525,0.01,sgd_replacement
47,sgd_replacement lr=0.01,0.00039894353540148586,0.00023023279126011483,0.00019713559601388847,0.0006007514747890832,2.3327907e-07,0.0,-0.0019118033815175295,-0.003162836190313101,0.01,sgd_replacement
